question,answer,options,llm_labeled_successfully,llm_label
"An 8-year-old boy presents with a 7-day history of fever and abdominal pain for the past 4 days. Past medical history is significant for an exchange transfusion for neonatal hyperbilirubinemia and recurrent attacks of pallor during the course of upper respiratory tract infections. His vital signs include: blood pressure 120/70 mm Hg, pulse 105/min, respiratory rate 40/min, and temperature 37.0℃ (98.6℉). On physical examination, the patient is ill-looking. Conjunctivae are pale and the sclera is icteric. The liver is palpable 2 cm below the costal margin and the spleen is palpable 3 cm below the left costal margin. Laboratory findings show hemoglobin of 5.9 gm/dL, Hct of 20%, and haptoglobin of 28 gm/dL. A peripheral blood smear shows hypochromic anemia, polychromasia, anisocytosis, and occasional Heinz bodies. The reticulocyte count was 15%. A direct Coombs test was negative. Which of the following is the most likely diagnosis in this patient?",Glucose-6-phosphate-dehydrogenase deficiency,"['Hereditary spherocytosis', 'Glucose-6-phosphate-dehydrogenase deficiency', 'Sickle cell disease', 'Gilbert syndrome', 'IgG mediated autoimmune hemolytic anemia']",yes,Hereditary spherocytosis
"A professional golfer tees off on the first day of a tournament. On the first hole, his drive slices to the right and drops in the water. He yells at his caddy, then takes his driver and throws it at his feet, blaming it for his poor swing. Notably, the golfer had had a long fight with his wife last night over problems with family finances. The golfer's actions on the course represent which type of defense mechanism?",Displacement,"['Sublimation', 'Displacement', 'Isolation of affect', 'Rationalization', 'Repression']",yes,Displacement
"A 60-year-old man presents to the emergency department with a rapid change in his behavior. The patient recently returned from a vacation in rural Mexico and recovered from several episodes of bloody diarrhea. He has had a notable and rapid decline in his memory which started this morning. His personality has also changed, has not been sleeping, and seems generally apathetic. Brief and involuntary muscle twitches have been noted as well. The patient has a past medical history of hypertension and diabetes. His temperature is 99.8°F (37.7°C), blood pressure is 152/98 mmHg, pulse is 97/min, respirations are 14/min, and oxygen saturation is 99% on room air. Physical exam is notable for a confused and apathetic man who is not compliant with the neurological exam. The patient is admitted to the ICU; however, during his hospital course, the patient ultimately dies. Which of the following was most likely to be found in this patient upon initial presentation?",Sharp wave complexes on EEG,"['Blood in the subarachnoid place', 'Multifocal infarction on MRI', 'Neurofibrillary tangles', 'Sharp wave complexes on EEG', 'Tear of a bridging vein']",yes,Neurofibrillary tangles
A 14-year-old boy is rushed to the emergency room after he became disoriented at home. His parents say that the boy was doing well until 2 days ago when he got sick and vomited several times. They thought he was recovering but today he appeared to be disoriented since the morning. His vitals are normal except shallow rapid breathing at a rate of 33/min. His blood sugar level is 654 mg/dL and urine is positive for ketone bodies. He is diagnosed with diabetic ketoacidosis and is managed with fluids and insulin. He responds well to the therapy. His parents are told that their son has type 1 diabetes and insulin therapy options are being discussed. Which of the following types of insulin can be used in this patient for the rapid action required during mealtimes?,Insulin lispro,"['Insulin detemir', 'NPH insulin', 'Insulin lispro', 'Insulin glargine', 'NPH and regular insulin']",yes,Insulin lispro
"A 69-year-old woman is admitted to the hospital with substernal, crushing chest pain. She is emergently moved to the cardiac catheterization lab where she undergoes cardiac angiography. Angiography reveals that the diameter of her left anterior descending artery (LAD) is 50% of normal. If her blood pressure, LAD length, and blood viscosity have not changed, which of the following represents the most likely change in LAD flow from baseline?",Decreased by 93.75%,"['Increased by 6.25%', 'Increased by 25%', 'Decreased by 93.75%', 'Decreased by 87.5%', 'Decreased by 25%']",yes,Decreased by 87.5%
"A 79-year-old man presents to the emergency department with abdominal pain. The patient describes the pain as severe, tearing, and radiating to the back. His history is significant for hypertension, hyperlipidemia, intermittent claudication, and a 60 pack-year history of smoking. He also has a previously diagnosed stable abdominal aortic aneurysm followed by ultrasound screening. On exam, the patient's temperature is 98°F (36.7°C), pulse is 113/min, blood pressure is 84/46 mmHg, respirations are 24/min, and oxygen saturation is 99% on room air. The patient is pale and diaphoretic, and becomes confused as you examine him. Which of the following is most appropriate in the evaluation and treatment of this patient?",Surgery,"['Abdominal ultrasound', 'Abdominal CT with contrast', 'Abdominal CT without contrast', 'Abdominal MRI', 'Surgery']",yes,Abdominal CT with contrast
"A 52-year-old man presents with a 5-week history of multiple cutaneous ulcers on his left forearm and neck, which he first noticed after returning from a 2-month stay in rural Peru. He does not recall any trauma or arthropod bites. The lesions began as non-pruritic erythematous papules that became enlarged, ulcerated, and crusted. There is no history of fever or abdominal pain. He has been sexually active with a single partner since their marriage at 24 years of age. The physical examination reveals erythematous, crusted plaques with central ulceration and a raised border. There is no fluctuance, drainage, or sporotrichoid spread. A punch biopsy was performed, which revealed an ulcerated lesion with a mixed inflammatory infiltrate. Amastigotes within dermal macrophages are seen on Giemsa staining. What is the most likely diagnosis?",Cutaneous leishmaniasis,"['Histoplasmosis', 'Cutaneous leishmaniasis', 'Ecthyma', 'Syphilis', 'Cutaneous tuberculosis']",yes,Cutaneous leishmaniasis
"A 60-year-old man presents to his physician as part of his routine annual medical check-up. He has no specific complaints but mentions that he has often experienced fatigue over the past few months. His past medical history is noncontributory. On physical examination, his temperature is 37.2°C (98.8°F), pulse rate is 84/min, blood pressure is 130/86 mm Hg, and respiratory rate is 18/min. On general examination, mild pallor is present. Palpation of the abdomen reveals splenomegaly, which extends 6.35 cm (2.5 in) below the left costal margin. There is no hepatomegaly. Laboratory studies show the following values:
Hemoglobin 9.7 g/dL
Total leukocyte count 30,000/mm3
Granulocytes 83%
Lymphocytes 10%
Eosinophils 5%
Basophils 1%
Monocytes 1%
Platelet count 700,000/mm3
The physician orders a bone marrow biopsy analysis of hematopoietic cells. The report shows the presence of a t(9;22)(q34; q11) translocation. Which of the following is the most likely diagnosis?",Chronic myeloid leukemia,"['Chronic myeloid leukemia', 'Chronic myelomonocytic leukemia', 'Chronic neutrophilic leukemia', 'Transient myeloproliferative disorder', 'Myelodysplastic syndrome/myeloproliferative neoplasm, unclassifiable']",yes,Chronic myeloid leukemia
"A 66-year-old woman presents to the emergency department with a throbbing headache. She states that the pain is worse when eating and is localized over the right side of her head. Review of systems is only notable for some blurry vision in the right eye which is slightly worse currently. The patient's past medical history is notable only for chronic pain in her muscles and joints for which she has been taking ibuprofen. Her temperature is 99.1°F (37.3°C), blood pressure is 144/89 mmHg, pulse is 87/min, respirations are 14/min, and oxygen saturation is 98% on room air. Physical examination is significant for tenderness to palpation over the right temporal region. Which of the following is the best initial step in management?",Methylprednisolone,"['100% oxygen', 'CT head', 'Ibuprofen and acetaminophen', 'Methylprednisolone', 'MRI head']",yes,CT head
"An 11-year-old girl is brought to the emergency department after she fell during a dance class. She was unable to stand after the accident and has a painful and swollen knee. On presentation she says that she has had 2 previous swollen joints as well as profuse bleeding after minor cuts. Based on her presentation, a panel of bleeding tests is obtained with the following results:

Bleeding time: 11 minutes
Prothrombin time: 12 seconds
Partial thromboplastin time: 52 seconds

Which of the following treatments would be most effective in treating this patient's condition?",Desmopressin,"['Desmopressin', 'Factor VII repletion', 'Factor VIII repletion', 'Platelet infusion', 'Vitamin K']",yes,Desmopressin
